epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5194,3.95199,4.90654,4.19967,0,0,0,0,2.3242,25.0634,2.45734,0.00015453,0.00015453,0.00015453
2,41.1881,3.9328,4.93389,4.19521,0.00042,0.00549,0.00145,0.00087,2.32556,25.5415,2.45626,0.000315,0.000315,0.000315
3,87.7874,4.09884,5.0762,4.16007,0.00017,0.00549,0.00017,0.00013,2.32351,26.0315,2.45064,0.000472231,0.000472231,0.000472231
4,139.871,3.84627,5.10134,4.12035,0.00016,0.00549,0.00016,0.00013,2.29643,26.6693,2.42298,0.000626222,0.000626222,0.000626222
5,184.421,3.92145,4.82761,4.12826,0.00017,0.00549,0.00016,0.00013,2.26057,26.8061,2.39413,0.000776973,0.000776973,0.000776973
6,228.19,4.08143,4.60275,4.09393,0.00017,0.00549,0.00018,0.0001,2.19799,26.5337,2.3487,0.000864004,0.000864004,0.000864004
7,282.597,3.86656,4.60292,4.07314,0.00017,0.00549,0.00108,0.00043,2.15595,26.3377,2.31564,0.000855005,0.000855005,0.000855005
8,325.978,3.85267,4.90355,4.03893,0.00014,0.00549,0.00132,0.00026,2.12498,26.6897,2.28494,0.000846006,0.000846006,0.000846006
9,361.297,3.96034,4.62013,4.00804,9e-05,0.00461,0.00012,2e-05,2.10366,27.4272,2.27964,0.000837007,0.000837007,0.000837007
10,392.016,3.95154,4.53193,4.01101,0.00123,0.02109,0.0068,0.00152,2.20813,27.7496,2.3513,0.000828008,0.000828008,0.000828008
11,426.468,3.96424,4.32905,3.95959,0.00224,0.04078,0.00805,0.00145,5.16023,15.551,3.68052,0.000819009,0.000819009,0.000819009
12,459.915,3.7989,4.16424,3.87678,0.00152,0.03417,0.00246,0.00057,4.9015,5.66534,3.47684,0.00081001,0.00081001,0.00081001
13,493.22,3.9824,4.24738,3.8212,0.71808,0.01471,0.00267,0.00059,4.40023,5.16191,3.43861,0.000801011,0.000801011,0.000801011
14,533.983,4.21179,4.10519,3.58403,0.29521,0.04307,0.00734,0.00247,3.93981,4.35523,3.33082,0.000792012,0.000792012,0.000792012
15,589.633,3.67399,3.68074,3.759,0.73381,0.03297,0.01587,0.00469,3.66665,3.90272,3.26388,0.000783013,0.000783013,0.000783013
